journey_id,user_id,timestamp,channel,conversion,revenue,device,location,session_duration,product_viewed
1,328,2024-05-23 12:26:01.427101,Social Media,0,0.0,Desktop,California,62,Smartwatch
2,45,2024-06-13 14:29:12.427139,Social Media,1,64.30220576680262,Tablet,Illinois,23,Smartwatch
2,45,2024-06-08 22:47:08.427153,Affiliate,1,64.30220576680262,Tablet,Florida,122,Headphones
2,45,2024-05-28 12:19:06.427166,Email,1,64.30220576680262,Desktop,Florida,184,Tablet
2,45,2024-06-11 14:36:28.427178,Paid Search,1,64.30220576680262,Desktop,New York,204,Laptop
2,45,2024-06-04 09:55:27.427191,Direct,1,64.30220576680262,Mobile,New York,245,Smartwatch
3,64,2024-05-29 11:46:22.427208,Affiliate,0,0.0,Tablet,Texas,108,Laptop
3,64,2024-06-14 14:08:58.427219,Paid Search,0,0.0,Desktop,California,61,Headphones
3,64,2024-06-07 05:56:20.427231,Affiliate,0,0.0,Mobile,California,199,Tablet
3,64,2024-06-09 12:43:36.427242,Affiliate,0,0.0,Tablet,New York,97,Smartwatch
4,374,2024-06-01 08:37:54.427258,Paid Search,0,0.0,Tablet,Illinois,122,Tablet
4,374,2024-05-20 20:24:38.427269,Social Media,0,0.0,Desktop,Texas,215,Tablet
5,34,2024-05-31 08:02:33.427289,Affiliate,1,145.68194482436326,Mobile,California,145,Smartphone
5,34,2024-06-08 02:00:30.427301,Direct,1,145.68194482436326,Mobile,Illinois,229,Smartwatch
6,205,2024-06-11 03:53:45.427318,Organic Search,0,0.0,Desktop,New York,66,Smartphone
6,205,2024-05-26 16:37:20.427330,Affiliate,0,0.0,Mobile,Illinois,42,Headphones
6,205,2024-06-03 00:45:05.427341,Organic Search,0,0.0,Tablet,Texas,293,Laptop
7,349,2024-06-05 18:23:08.427360,Paid Search,1,395.86942969585067,Mobile,California,242,Laptop
8,489,2024-05-30 18:34:22.427403,Affiliate,0,0.0,Mobile,Illinois,111,Smartphone
8,489,2024-06-04 16:33:55.427416,Direct,0,0.0,Tablet,New York,175,Headphones
8,489,2024-06-15 18:22:27.427428,Paid Search,0,0.0,Mobile,California,39,Smartphone
9,450,2024-06-13 04:45:10.427444,Email,0,0.0,Tablet,California,75,Headphones
9,450,2024-05-16 02:25:46.427457,Social Media,0,0.0,Mobile,Illinois,226,Smartphone
9,450,2024-05-17 02:48:43.427469,Affiliate,0,0.0,Tablet,California,169,Headphones
9,450,2024-05-24 22:47:09.427481,Paid Search,0,0.0,Mobile,Illinois,241,Laptop
9,450,2024-06-08 14:15:58.427493,Email,0,0.0,Mobile,New York,293,Smartphone
10,302,2024-06-12 23:28:10.427510,Email,0,0.0,Desktop,New York,26,Tablet
10,302,2024-06-13 03:43:38.427522,Social Media,0,0.0,Mobile,Florida,119,Smartwatch
11,68,2024-05-31 07:37:35.427540,Social Media,1,159.34875907807603,Desktop,New York,230,Tablet
11,68,2024-06-02 07:28:46.427552,Organic Search,1,159.34875907807603,Tablet,New York,60,Laptop
11,68,2024-06-03 10:05:36.427564,Email,1,159.34875907807603,Desktop,California,107,Smartwatch
11,68,2024-06-01 17:20:36.427576,Organic Search,1,159.34875907807603,Desktop,Texas,246,Smartphone
11,68,2024-05-19 19:42:09.427587,Organic Search,1,159.34875907807603,Tablet,New York,35,Smartwatch
12,429,2024-05-17 13:50:27.427605,Social Media,0,0.0,Mobile,Florida,256,Smartphone
13,443,2024-06-10 08:38:57.427621,Email,0,0.0,Mobile,Texas,242,Tablet
13,443,2024-06-02 02:12:44.427676,Affiliate,0,0.0,Tablet,Florida,89,Smartphone
13,443,2024-06-06 14:31:15.427687,Email,0,0.0,Tablet,Illinois,41,Tablet
13,443,2024-06-14 20:37:17.427697,Direct,0,0.0,Mobile,Illinois,281,Smartphone
14,30,2024-05-19 15:40:53.427713,Email,0,0.0,Tablet,New York,130,Headphones
14,30,2024-06-12 01:42:21.427725,Social Media,0,0.0,Tablet,Illinois,30,Smartwatch
14,30,2024-06-13 07:11:01.427737,Affiliate,0,0.0,Tablet,Illinois,277,Tablet
14,30,2024-05-17 12:57:10.427748,Social Media,0,0.0,Tablet,Texas,132,Tablet
14,30,2024-06-03 17:40:55.427760,Affiliate,0,0.0,Tablet,Texas,244,Tablet
15,476,2024-05-31 23:49:53.427775,Direct,0,0.0,Desktop,New York,285,Smartphone
16,260,2024-05-17 09:44:24.427792,Email,0,0.0,Desktop,Texas,155,Smartphone
16,260,2024-06-01 02:40:09.427814,Affiliate,0,0.0,Mobile,Illinois,280,Laptop
16,260,2024-05-25 02:15:17.427826,Paid Search,0,0.0,Tablet,New York,78,Tablet
17,60,2024-06-07 12:11:19.427843,Direct,0,0.0,Desktop,Texas,114,Tablet
18,259,2024-05-19 20:35:51.427859,Email,1,457.40142098569544,Tablet,Florida,151,Laptop
18,259,2024-06-15 10:18:10.427869,Social Media,1,457.40142098569544,Tablet,Texas,92,Headphones
18,259,2024-05-29 06:52:32.427879,Direct,1,457.40142098569544,Desktop,New York,48,Smartphone
18,259,2024-05-29 21:08:07.427888,Paid Search,1,457.40142098569544,Tablet,Illinois,85,Headphones
19,66,2024-05-17 20:59:40.427902,Paid Search,1,214.09318189726523,Desktop,California,62,Tablet
20,400,2024-05-23 16:49:12.427918,Social Media,1,488.22666018678007,Desktop,California,221,Laptop
20,400,2024-06-10 10:21:09.427929,Organic Search,1,488.22666018678007,Tablet,California,146,Smartphone
20,400,2024-05-21 18:30:41.427940,Organic Search,1,488.22666018678007,Desktop,Florida,123,Smartphone
20,400,2024-05-20 05:41:17.427951,Paid Search,1,488.22666018678007,Mobile,California,124,Laptop
20,400,2024-05-25 15:24:56.427961,Organic Search,1,488.22666018678007,Mobile,Texas,45,Tablet
21,180,2024-05-20 02:55:27.427978,Paid Search,1,355.7831532621186,Desktop,New York,143,Smartphone
21,180,2024-05-28 12:46:54.427989,Email,1,355.7831532621186,Desktop,Illinois,232,Tablet
21,180,2024-05-23 11:01:35.428009,Organic Search,1,355.7831532621186,Tablet,Illinois,69,Headphones
21,180,2024-05-18 01:27:15.428021,Social Media,1,355.7831532621186,Mobile,New York,233,Laptop
21,180,2024-05-30 02:50:34.428032,Affiliate,1,355.7831532621186,Tablet,California,196,Headphones
22,36,2024-06-12 11:30:46.428048,Direct,1,348.5243643194949,Mobile,Florida,177,Headphones
22,36,2024-05-24 11:40:57.428059,Direct,1,348.5243643194949,Desktop,California,225,Headphones
22,36,2024-05-25 16:06:39.428071,Direct,1,348.5243643194949,Tablet,Texas,217,Smartwatch
23,427,2024-06-02 01:19:50.428086,Direct,1,179.11117259101724,Tablet,Texas,248,Headphones
24,227,2024-05-16 16:16:08.428102,Affiliate,1,407.1809295977009,Desktop,Texas,273,Smartwatch
24,227,2024-06-05 19:02:49.428113,Social Media,1,407.1809295977009,Tablet,Texas,125,Smartphone
25,76,2024-06-08 05:08:52.428129,Direct,0,0.0,Desktop,Florida,222,Smartwatch
26,100,2024-06-10 22:33:39.428147,Affiliate,1,229.84378829444196,Desktop,New York,227,Smartphone
26,100,2024-06-10 03:35:20.428169,Organic Search,1,229.84378829444196,Desktop,Illinois,137,Laptop
26,100,2024-06-01 17:35:32.428182,Organic Search,1,229.84378829444196,Tablet,Illinois,296,Smartwatch
26,100,2024-06-05 06:20:01.428193,Direct,1,229.84378829444196,Tablet,Illinois,228,Smartwatch
27,229,2024-05-22 13:26:43.428211,Affiliate,1,252.53139076110867,Mobile,Illinois,258,Smartphone
27,229,2024-06-07 06:25:55.428224,Email,1,252.53139076110867,Tablet,Texas,130,Tablet
28,172,2024-06-11 16:57:20.428240,Social Media,0,0.0,Mobile,California,119,Laptop
28,172,2024-06-02 07:36:25.428253,Paid Search,0,0.0,Tablet,Florida,222,Laptop
28,172,2024-06-09 07:09:00.428264,Organic Search,0,0.0,Tablet,New York,204,Headphones
29,4,2024-05-19 07:11:28.428282,Direct,1,389.06380627672365,Tablet,Illinois,122,Headphones
29,4,2024-06-08 12:30:35.428295,Organic Search,1,389.06380627672365,Mobile,New York,209,Tablet
29,4,2024-05-25 07:43:35.428305,Affiliate,1,389.06380627672365,Desktop,Florida,75,Smartwatch
30,274,2024-05-25 21:27:37.428324,Email,1,316.3517490325599,Tablet,Florida,79,Headphones
31,94,2024-06-09 05:53:31.428340,Paid Search,1,220.5967388846628,Mobile,Florida,152,Headphones
32,130,2024-05-29 20:33:03.428356,Paid Search,1,58.72247917250481,Desktop,New York,30,Laptop
33,487,2024-05-20 21:42:18.428396,Direct,0,0.0,Desktop,California,74,Headphones
33,487,2024-05-25 18:16:56.428408,Direct,0,0.0,Desktop,Florida,141,Tablet
34,86,2024-05-22 16:29:04.428425,Paid Search,0,0.0,Desktop,Illinois,23,Tablet
34,86,2024-05-28 08:46:57.428436,Organic Search,0,0.0,Tablet,California,48,Smartwatch
34,86,2024-05-23 23:36:36.428447,Social Media,0,0.0,Desktop,Texas,71,Smartwatch
34,86,2024-05-21 20:57:06.428459,Paid Search,0,0.0,Tablet,Florida,199,Laptop
34,86,2024-05-29 22:52:15.428471,Paid Search,0,0.0,Desktop,Florida,260,Laptop
35,222,2024-06-02 16:02:03.428489,Affiliate,1,368.2888896677346,Tablet,Texas,285,Headphones
35,222,2024-06-01 06:35:18.428502,Affiliate,1,368.2888896677346,Tablet,Texas,175,Smartphone
35,222,2024-05-20 19:17:30.428513,Paid Search,1,368.2888896677346,Mobile,California,247,Smartwatch
36,313,2024-05-19 10:36:49.428536,Social Media,1,62.91499899654031,Mobile,California,191,Tablet
36,313,2024-06-05 12:15:54.428548,Direct,1,62.91499899654031,Tablet,Texas,294,Laptop
36,313,2024-05-30 15:29:27.428559,Email,1,62.91499899654031,Desktop,Florida,260,Smartwatch
36,313,2024-05-22 13:41:50.428570,Affiliate,1,62.91499899654031,Mobile,Florida,239,Laptop
37,48,2024-06-03 13:35:19.428586,Paid Search,0,0.0,Tablet,Illinois,198,Headphones
37,48,2024-05-29 03:07:01.428595,Paid Search,0,0.0,Mobile,Illinois,179,Tablet
37,48,2024-05-24 05:55:36.428605,Paid Search,0,0.0,Mobile,Texas,128,Laptop
38,370,2024-05-29 15:42:22.428622,Social Media,1,103.79963356477377,Desktop,Florida,151,Smartwatch
38,370,2024-05-22 03:20:44.428636,Direct,1,103.79963356477377,Mobile,New York,109,Tablet
39,117,2024-06-06 21:55:55.428652,Affiliate,0,0.0,Tablet,California,150,Laptop
39,117,2024-06-14 02:18:00.428664,Paid Search,0,0.0,Tablet,California,261,Laptop
39,117,2024-05-19 22:00:02.428675,Direct,0,0.0,Mobile,Florida,255,Headphones
40,175,2024-06-07 05:03:13.428691,Email,0,0.0,Desktop,Florida,261,Laptop
40,175,2024-05-27 23:31:47.428703,Affiliate,0,0.0,Desktop,California,86,Smartwatch
41,486,2024-06-08 18:08:04.430065,Direct,0,0.0,Mobile,Illinois,125,Smartwatch
41,486,2024-06-03 06:02:40.430086,Organic Search,0,0.0,Mobile,Illinois,229,Tablet
41,486,2024-05-27 23:50:10.430099,Email,0,0.0,Tablet,New York,116,Smartphone
42,136,2024-06-08 16:07:07.430117,Direct,0,0.0,Desktop,California,11,Headphones
43,231,2024-06-08 11:57:27.430136,Affiliate,1,181.06668006396242,Mobile,Florida,46,Smartphone
43,231,2024-05-17 12:48:54.430148,Affiliate,1,181.06668006396242,Tablet,California,227,Laptop
43,231,2024-05-29 14:15:43.430159,Affiliate,1,181.06668006396242,Desktop,Texas,82,Laptop
43,231,2024-06-14 16:24:22.430171,Paid Search,1,181.06668006396242,Tablet,Illinois,157,Headphones
43,231,2024-06-12 05:22:56.430181,Affiliate,1,181.06668006396242,Mobile,Florida,149,Smartwatch
44,277,2024-06-14 06:43:03.430195,Affiliate,1,86.19883335468543,Mobile,Illinois,138,Laptop
44,277,2024-06-13 14:06:44.430206,Affiliate,1,86.19883335468543,Tablet,Illinois,20,Tablet
44,277,2024-05-28 20:58:56.430217,Social Media,1,86.19883335468543,Mobile,Illinois,236,Tablet
44,277,2024-06-10 01:08:09.430226,Organic Search,1,86.19883335468543,Tablet,Florida,56,Headphones
45,179,2024-06-12 16:35:30.430240,Paid Search,1,194.4762151804572,Mobile,Florida,157,Headphones
45,179,2024-05-20 02:25:07.430250,Email,1,194.4762151804572,Mobile,New York,171,Tablet
45,179,2024-06-05 18:13:35.430261,Organic Search,1,194.4762151804572,Tablet,New York,287,Headphones
45,179,2024-06-02 20:28:25.430272,Social Media,1,194.4762151804572,Tablet,Texas,265,Headphones
46,390,2024-06-07 02:27:02.430288,Social Media,0,0.0,Mobile,Florida,258,Laptop
47,15,2024-05-24 16:40:51.430303,Paid Search,0,0.0,Tablet,New York,292,Headphones
47,15,2024-06-13 14:15:58.430314,Email,0,0.0,Mobile,New York,88,Headphones
